epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3792.63,0.48701,0.76094,0.48151,0.93082,0.81296,0.85954,0.8472,0.75736,0.81078,0.85217,0.83053,0.68482,0.49026,0.67879,0.57419,0.80851,0.000594286,0.000594286,0.000594286
67,3849.19,0.4874,0.75447,0.48634,0.93064,0.82118,0.86855,0.85464,0.76191,0.81257,0.85198,0.83471,0.67268,0.50744,0.69025,0.56793,0.82018,0.000577782,0.000577782,0.000577782
68,3902.21,0.48434,0.73882,0.48119,0.93096,0.83547,0.85358,0.85357,0.76448,0.78764,0.89651,0.84465,0.67732,0.48547,0.66762,0.5738,0.80987,0.000561279,0.000561279,0.000561279
69,3958.39,0.49077,0.74405,0.48727,0.93096,0.81515,0.88989,0.85207,0.75403,0.80732,0.88069,0.83407,0.66801,0.50443,0.73829,0.57658,0.83083,0.000544776,0.000544776,0.000544776
70,4016.35,0.48157,0.74291,0.47421,0.92621,0.8308,0.87287,0.85359,0.7614,0.82989,0.8715,0.84164,0.67808,0.49514,0.66442,0.57771,0.81755,0.000528272,0.000528272,0.000528272
71,4069.84,0.48005,0.76988,0.4762,0.92897,0.81132,0.88628,0.86141,0.77234,0.80997,0.88372,0.85626,0.68898,0.49651,0.75458,0.57772,0.81997,0.000511769,0.000511769,0.000511769
72,4127.62,0.48175,0.73665,0.47242,0.92422,0.82835,0.89134,0.86488,0.77133,0.82303,0.89425,0.85719,0.69522,0.49741,0.64138,0.54404,0.81875,0.000495266,0.000495266,0.000495266
73,4183.82,0.46708,0.71878,0.46828,0.92124,0.82711,0.86196,0.84695,0.76218,0.81614,0.85147,0.82777,0.6745,0.46588,0.67063,0.5783,0.80264,0.000478762,0.000478762,0.000478762
74,4239.45,0.46201,0.72108,0.46702,0.91939,0.82457,0.88247,0.84522,0.75528,0.82084,0.87787,0.83202,0.66942,0.47581,0.7305,0.56814,0.81055,0.000462259,0.000462259,0.000462259
75,4298.49,0.4602,0.70863,0.45574,0.92218,0.79914,0.89661,0.8529,0.76755,0.78877,0.88592,0.83716,0.68556,0.47219,0.70503,0.55779,0.80592,0.000445756,0.000445756,0.000445756
76,4352.25,0.46875,0.72799,0.4602,0.92196,0.82067,0.89603,0.85247,0.76076,0.81434,0.88434,0.83898,0.67833,0.48202,0.67267,0.56832,0.8111,0.000429253,0.000429253,0.000429253
77,4408.15,0.46558,0.72002,0.46437,0.92038,0.80442,0.89793,0.84846,0.76017,0.79978,0.89333,0.83812,0.67665,0.47701,0.72482,0.57243,0.80838,0.000412749,0.000412749,0.000412749
78,4462.31,0.461,0.70151,0.45951,0.9157,0.80345,0.88993,0.85461,0.76881,0.80993,0.88421,0.84129,0.68258,0.46926,0.65975,0.55389,0.80946,0.000396246,0.000396246,0.000396246
79,4518.37,0.45213,0.68843,0.448,0.91645,0.82975,0.88742,0.85716,0.76567,0.82739,0.88074,0.84621,0.6871,0.49708,0.6594,0.56476,0.82907,0.000379743,0.000379743,0.000379743
80,4575.4,0.46671,0.73513,0.46114,0.92364,0.83447,0.86872,0.84519,0.75816,0.82463,0.85694,0.83043,0.67411,0.47082,0.72609,0.57014,0.80611,0.000363239,0.000363239,0.000363239
81,4629.31,0.45213,0.70629,0.45373,0.91443,0.824,0.87773,0.85848,0.77352,0.82235,0.87687,0.84721,0.68778,0.46608,0.66029,0.54729,0.79906,0.000346736,0.000346736,0.000346736
82,4685.74,0.4566,0.70337,0.45074,0.91732,0.80301,0.90259,0.85822,0.76446,0.79722,0.8965,0.84272,0.68529,0.48424,0.68748,0.56075,0.81742,0.000330233,0.000330233,0.000330233
83,4740.34,0.45857,0.68723,0.44938,0.91795,0.82208,0.89143,0.85381,0.76682,0.80629,0.89868,0.84501,0.69134,0.46303,0.70408,0.55371,0.79746,0.000313729,0.000313729,0.000313729
84,4798.29,0.44474,0.6917,0.44858,0.91377,0.84584,0.87638,0.84917,0.76328,0.84258,0.87328,0.83978,0.67855,0.46396,0.72638,0.54641,0.80137,0.000297226,0.000297226,0.000297226
85,4855.1,0.44655,0.69801,0.43839,0.91469,0.83512,0.87933,0.85823,0.77397,0.82781,0.87169,0.84492,0.69062,0.46901,0.73505,0.53919,0.79856,0.000280723,0.000280723,0.000280723
86,4910.84,0.43857,0.67608,0.43914,0.91281,0.83582,0.88083,0.85403,0.76703,0.83358,0.87924,0.84527,0.68895,0.46716,0.69552,0.54608,0.81039,0.00026422,0.00026422,0.00026422
87,4966.17,0.43626,0.68348,0.44157,0.91286,0.83098,0.87182,0.86051,0.77476,0.82498,0.86573,0.84729,0.69129,0.45477,0.68466,0.54576,0.79342,0.000247716,0.000247716,0.000247716
88,5022.17,0.44351,0.6745,0.44386,0.91508,0.81527,0.90645,0.85699,0.76679,0.82177,0.87774,0.84418,0.69012,0.46348,0.69476,0.54692,0.8012,0.000231213,0.000231213,0.000231213
89,5076.38,0.43343,0.68757,0.43551,0.90986,0.8171,0.89004,0.85766,0.77051,0.80252,0.9034,0.849,0.68692,0.4601,0.65988,0.55122,0.80062,0.00021471,0.00021471,0.00021471
90,5133.25,0.44336,0.69858,0.43972,0.91118,0.81964,0.88852,0.85665,0.77149,0.81058,0.87938,0.84299,0.68914,0.46223,0.67928,0.54646,0.80406,0.000198206,0.000198206,0.000198206
91,5189.93,0.40097,0.57599,0.39278,0.90824,0.82063,0.89736,0.85825,0.76836,0.82431,0.88219,0.84724,0.68692,0.46754,0.76213,0.5347,0.81155,0.000181703,0.000181703,0.000181703
92,5237.14,0.38606,0.55227,0.37023,0.89892,0.83096,0.87621,0.85651,0.77355,0.82828,0.87287,0.84522,0.69018,0.4543,0.72225,0.53571,0.80311,0.0001652,0.0001652,0.0001652
93,5283.83,0.38476,0.56076,0.37172,0.89965,0.83003,0.87627,0.86278,0.7791,0.82589,0.86859,0.84993,0.69045,0.445,0.75657,0.52784,0.79835,0.000148696,0.000148696,0.000148696
94,5332.42,0.38005,0.55432,0.36485,0.89838,0.81133,0.88384,0.86104,0.7781,0.81729,0.86367,0.84782,0.69295,0.44635,0.71891,0.53905,0.79714,0.000132193,0.000132193,0.000132193
95,5377.76,0.37285,0.55606,0.3622,0.89303,0.8381,0.85937,0.86565,0.78166,0.83631,0.85782,0.85179,0.69515,0.44601,0.71283,0.53304,0.79382,0.00011569,0.00011569,0.00011569
96,5423.55,0.37028,0.53937,0.35686,0.89433,0.82927,0.88878,0.86722,0.78574,0.82813,0.88525,0.85404,0.69769,0.44392,0.71109,0.53506,0.791,9.91865e-05,9.91865e-05,9.91865e-05
97,5472.38,0.36936,0.54843,0.35533,0.89218,0.80713,0.90454,0.8663,0.7829,0.80445,0.89535,0.85025,0.69745,0.44601,0.71315,0.53475,0.79741,8.26832e-05,8.26832e-05,8.26832e-05
98,5521.07,0.36661,0.53257,0.35555,0.89571,0.81977,0.89767,0.86622,0.78251,0.81013,0.8978,0.85153,0.69141,0.44353,0.73812,0.53843,0.79344,6.61799e-05,6.61799e-05,6.61799e-05
99,5569.01,0.36602,0.53162,0.35381,0.89625,0.82421,0.88275,0.86685,0.78529,0.80737,0.8913,0.85243,0.69696,0.442,0.73156,0.53137,0.79342,4.96766e-05,4.96766e-05,4.96766e-05
100,5616.99,0.36219,0.5361,0.34847,0.89382,0.82135,0.88459,0.86741,0.7839,0.81969,0.87778,0.85288,0.69889,0.44208,0.71777,0.53019,0.79526,3.31733e-05,3.31733e-05,3.31733e-05
